Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore,label
2024-03-07 01:00:00,66047.00,66998.00,65982.00,65983.0,4548.42,1709776799999,301566419.38090,3498,2311.275,153860373.63880,0,2
2024-03-07 02:00:00,65982.00,66998.00,65982.00,66935.0,3860.611,1709780399999,257067224.35400,3630,1930.465,129117321.97020,0,2
2024-03-07 03:00:00,66934.20,66998.00,65982.00,66036.0,3769.467,1709783999999,250710052.84430,3952,1835.179,122754483.92100,0,2
2024-03-07 04:00:00,66036.00,66935.00,65980.00,66692.0,3665.456,1709787599999,243649723.60790,2938,1825.631,121986651.96890,0,2
2024-03-07 05:00:00,66692.00,66722.00,65970.00,66720.9,3878.487,1709791199999,257306142.64910,3155,1844.385,123041285.47290,0,2
2024-03-07 06:00:00,66720.90,66721.10,65980.10,66167.0,4306.899,1709794799999,285663570.30900,3096,2087.149,139089648.17180,0,2
2024-03-07 07:00:00,66580.00,67036.00,65931.00,66100.0,6295.799,1709798399999,417701929.21330,2787,2360.056,157106558.13670,0,2
2024-03-07 08:00:00,66100.00,66500.00,62100.10,62100.1,10498.396,1709801999999,675292006.84610,3832,3209.256,207629291.50470,0,1
2024-03-07 09:00:00,62199.00,65399.90,60084.10,63100.0,7296.372,1709805599999,457652757.42760,4263,3168.730,199660761.00630,0,1
2024-03-07 10:00:00,63100.00,66036.40,63100.00,65248.0,5333.238,1709809199999,346388912.40530,5016,2585.491,168862630.46330,0,1
2024-03-07 11:00:00,65510.00,65930.90,64700.00,65125.2,3881.633,1709812799999,253673726.91900,3164,1915.186,125726046.42550,0,1
2024-03-07 12:00:00,65248.00,66194.80,65128.00,65533.4,3891.158,1709816399999,255717210.45160,3310,1905.174,125726752.16540,0,1
2024-03-07 13:00:00,65650.00,66000.00,64854.00,65850.0,4030.576,1709819999999,264279995.93930,2475,2016.459,132732946.72600,0,1
2024-03-07 14:00:00,65510.00,66194.80,64884.80,65853.1,4304.832,1709823599999,283092313.00470,2555,2277.902,150265757.23900,0,1
2024-03-07 15:00:00,65515.20,66749.00,65510.00,66298.0,4583.118,1709827199999,302120715.89180,2814,2226.469,147238736.76650,0,1
2024-03-07 16:00:00,66499.90,66499.90,65400.10,65904.0,4433.042,1709830799999,292368856.04530,3570,2204.383,146029490.99000,0,1
2024-03-07 17:00:00,65763.00,66407.00,65512.00,66167.0,3783.181,1709834399999,250360276.26510,2228,1894.817,125737600.21470,0,1
2024-03-07 18:00:00,65905.00,66600.00,65904.00,66298.0,4159.407,1709837999999,275768633.52360,2702,2074.000,137893132.34490,0,1
2024-03-07 19:00:00,66352.80,66749.00,66172.70,66693.0,4867.435,1709841599999,323679571.00750,2385,2292.936,152910694.93960,0,1
2024-03-07 20:00:00,66561.00,66743.80,66298.10,66630.0,4339.833,1709845199999,288658613.69280,2056,2171.586,144789201.59550,0,1
2024-03-07 21:00:00,66544.00,66654.00,65878.50,66167.0,4183.856,1709848799999,277463989.30360,1951,1965.676,130612084.99130,0,1
2024-03-07 22:00:00,66036.00,66405.00,65900.00,66289.0,4112.129,1709852399999,271812652.44410,1756,1975.882,130898175.80480,0,1
2024-03-07 23:00:00,66036.00,66330.00,66000.00,66036.0,3797.886,1709855999999,251290654.83390,1639,1945.962,129002104.80050,0,1
2024-03-08 00:00:00,66230.00,66328.10,66003.00,66036.0,3788.775,1709859599999,250823404.42350,1842,1882.807,124844138.67220,0,1
2024-03-08 01:00:00,66003.10,66562.00,66002.00,66560.0,3969.281,1709863199999,262827877.00040,3488,1993.879,132410227.26460,0,1
2024-03-08 02:00:00,66358.00,66616.00,66002.70,66298.0,3663.564,1709866799999,242851460.38410,3682,1828.962,121642169.93700,0,1
2024-03-08 03:00:00,66298.00,66687.20,66051.30,66227.3,3505.157,1709870399999,232605870.57980,3842,1728.219,115161485.37840,0,1
2024-03-08 04:00:00,66298.00,66726.50,66051.20,66055.4,4191.984,1709873999999,278183572.89880,4678,2073.169,138151519.59580,0,1
2024-03-08 05:00:00,66318.00,66611.00,66051.10,66298.0,5064.55,1709877599999,335907056.02300,2911,2301.136,153032324.43680,0,1
2024-03-08 06:00:00,66429.00,66499.00,66001.10,66332.4,3844.81,1709881199999,254794000.29760,4910,1947.622,129449382.05360,0,1
2024-03-08 07:00:00,66332.40,66499.00,66001.10,66158.0,4012.353,1709884799999,265845251.23890,6965,1897.921,126171151.79640,0,1
2024-03-08 08:00:00,66158.00,66500.00,66001.00,66167.0,4269.956,1709888399999,282905925.46290,5511,2280.249,151526547.65990,0,1
2024-03-08 09:00:00,66271.00,66619.90,66055.00,66202.0,3871.449,1709891999999,256738918.99570,5307,1929.998,128377587.02730,0,1
2024-03-08 10:00:00,66202.00,66743.80,66183.50,66552.0,4628.87,1709895599999,307735707.04950,5360,2316.076,154460832.22860,0,1
2024-03-08 11:00:00,66561.00,66742.90,66089.20,66271.0,4199.151,1709899199999,279196381.27860,4916,2082.626,138927228.06680,0,1
2024-03-08 12:00:00,66271.00,66742.80,66089.90,66551.0,4619.598,1709902799999,306883736.40180,3471,2335.858,155635820.50520,0,1
2024-03-08 13:00:00,66602.00,66742.80,66300.00,66741.2,4060.654,1709906399999,270162616.69090,3604,2049.234,136713191.74950,0,1
2024-03-08 14:00:00,66621.00,67856.50,66500.00,67599.0,5780.261,1709909999999,387843986.22040,3672,3737.589,251203717.98380,0,1
2024-03-08 15:00:00,67586.00,69800.00,67334.20,67955.4,6431.484,1709913599999,439426785.62350,5065,4010.166,274729161.59620,0,1
2024-03-08 16:00:00,67955.40,69799.00,67100.00,68521.0,5956.618,1709917199999,405915512.83360,9094,3080.246,210850987.36620,0,1
2024-03-08 17:00:00,68530.00,69052.00,68267.10,68600.2,4430.837,1709920799999,304749819.52160,5818,2200.490,151832157.13940,0,1
2024-03-08 18:00:00,68667.00,69051.90,68600.20,68941.0,4501.163,1709924399999,309838894.54750,5121,2214.601,152850931.59850,0,1
2024-03-08 19:00:00,68941.00,69099.00,68650.10,68721.5,3586.615,1709927999999,246988518.32440,2900,1770.011,122135978.59870,0,1
2024-03-08 20:00:00,68856.00,69950.20,68731.10,69310.6,4816.963,1709931599999,334585095.68160,5015,2448.250,170560487.15750,0,1
2024-03-08 21:00:00,69310.60,69782.60,68800.30,68921.0,4194.711,1709935199999,290441750.94730,6005,1994.350,138567801.75020,0,1
2024-03-08 22:00:00,68993.00,69650.00,68800.30,69010.5,4487.262,1709938799999,310616149.71310,6671,2229.583,154999558.12630,0,1
2024-03-08 23:00:00,69274.00,71999.90,69010.50,69868.1,6657.79,1709942399999,465617371.08490,9083,4135.505,290126366.80890,0,0
2024-03-09 00:00:00,69868.10,71998.90,69300.00,70764.0,5207.492,1709945999999,364335476.23810,9128,2576.985,181553241.87420,0,0
2024-03-09 01:00:00,70765.00,71412.80,69300.50,69450.7,3898.159,1709949599999,272662121.62040,9860,1913.420,134538994.56230,0,0
2024-03-09 02:00:00,69889.00,71999.00,69400.50,70372.5,5231.883,1709953199999,368990699.24440,11801,2670.952,189663147.58750,0,0
2024-03-09 03:00:00,70083.00,71050.00,69514.20,70172.0,4753.683,1709956799999,334134301.13370,9455,2423.992,171376829.49670,0,0
2024-03-09 04:00:00,70035.00,70887.00,69615.40,69690.2,4422.532,1709960399999,310539917.78040,9924,2194.664,155042312.14110,0,0
2024-03-09 05:00:00,69714.00,70887.00,69690.00,69695.0,3945.113,1709963999999,276833862.85690,8619,1830.406,129134183.62870,0,0
2024-03-09 06:00:00,69762.00,70800.00,69690.00,70789.7,3702.014,1709967599999,259810333.92730,8140,1846.458,130190166.68690,0,2
2024-03-09 07:00:00,70789.70,70794.30,69838.40,70681.2,3553.526,1709971199999,249733230.17680,6514,1739.083,122731861.37230,0,0
2024-03-09 08:00:00,70492.00,70700.00,69726.80,70100.0,4682.272,1709974799999,328778029.43220,8141,2274.751,160476526.70710,0,0
2024-03-09 09:00:00,70309.00,70650.00,69950.20,70000.6,4268.275,1709978399999,300367076.52170,4975,2167.970,153079494.06100,0,0
2024-03-09 10:00:00,70446.00,70624.40,69665.00,69726.9,4165.421,1709981999999,292455076.54020,6825,2045.724,144243149.75560,0,0
2024-03-09 11:00:00,69800.00,70624.30,69726.90,70550.0,3359.966,1709985599999,235865367.54460,5730,1650.286,116306640.75690,0,2
2024-03-09 12:00:00,70455.70,70600.00,69726.90,69782.6,3930.762,1709989199999,275579819.75540,6165,1953.940,137588453.31900,0,0
2024-03-09 13:00:00,69811.00,70639.00,69782.60,69900.0,3985.372,1709992799999,279775680.29750,5853,2000.838,140936206.14730,0,0
2024-03-09 14:00:00,69928.00,70630.00,69900.00,69900.0,4426.456,1709996399999,310461174.19230,5975,2221.094,156209427.94360,0,0
2024-03-09 15:00:00,69900.00,70550.00,69900.00,70372.5,4314.123,1709999999999,302413714.47970,5429,2133.224,149890586.22280,0,0
2024-03-09 16:00:00,70190.00,70600.00,69800.00,70035.0,3716.873,1710003599999,260889003.79600,6302,1894.859,133450748.09720,0,0
2024-03-09 17:00:00,70000.00,70599.50,70000.00,70012.0,5550.368,1710007199999,390159371.33170,3910,3492.444,245970523.74640,0,0
2024-03-09 18:00:00,70599.40,70599.40,70011.20,70011.3,4066.23,1710010799999,285873773.09490,5708,2038.777,143894339.37280,0,0
2024-03-09 19:00:00,70011.30,70599.40,70011.00,70101.0,6376.472,1710014399999,448382510.31050,3944,3127.249,220659698.38520,0,1
2024-03-09 20:00:00,70189.70,70577.00,70011.20,70356.5,4579.484,1710017999999,321715544.39470,4914,2276.867,160434409.74980,0,0
2024-03-09 21:00:00,70445.90,70578.80,70011.40,70220.0,3615.122,1710021599999,253994311.77710,4163,1799.074,126822872.55840,0,0
2024-03-09 22:00:00,70446.00,70550.00,70012.50,70492.1,3902.957,1710025199999,274327666.68250,6106,1996.004,140773370.75310,0,2
2024-03-09 23:00:00,70492.60,70558.00,70012.60,70321.6,3295.854,1710028799999,231623463.07880,6277,1640.050,115628891.52160,0,0
2024-03-10 00:00:00,70309.00,70557.90,70080.10,70475.3,3948.956,1710032399999,277588897.51100,4043,1978.113,139421403.65080,0,2
2024-03-10 01:00:00,70473.80,70511.50,70080.10,70500.0,3198.902,1710035999999,224965197.24040,4599,1601.711,112902676.71330,0,2
2024-03-10 02:00:00,70356.00,70557.80,70174.40,70549.0,4064.266,1710039599999,285989305.54310,3082,2035.961,143595079.82500,0,2
2024-03-10 03:00:00,70356.00,70737.60,70080.00,70446.0,3431.261,1710043199999,241395048.03510,3722,1690.255,119215410.55710,0,2
2024-03-10 04:00:00,70446.00,70794.20,70200.00,70286.7,4211.082,1710046799999,296933161.10660,4175,2106.707,148952863.49440,0,1
2024-03-10 05:00:00,70309.00,71000.00,70200.00,70492.0,3489.86,1710050399999,246284669.46310,5012,1747.451,123717663.92280,0,2
2024-03-10 06:00:00,70705.70,70907.60,70012.40,70012.4,3919.928,1710053999999,275925080.42660,4469,1934.699,136594909.18780,0,1
2024-03-10 07:00:00,70346.30,70689.90,69894.30,69894.3,4042.075,1710057599999,284195306.98660,5183,1999.434,141023942.77500,0,1
2024-03-10 08:00:00,70083.00,70492.00,69800.10,70250.5,3957.759,1710061199999,277544918.27840,4266,1892.240,133078303.91710,0,1
2024-03-10 09:00:00,70250.50,70599.90,69700.00,69947.0,4769.356,1710064799999,334235110.70510,5529,2340.092,164579728.22100,0,1
2024-03-10 10:00:00,69947.00,70394.00,69782.60,70134.6,3619.82,1710068399999,253769641.74260,3831,1836.820,129065121.54430,0,1
2024-03-10 11:00:00,70134.60,70681.20,69850.00,70346.3,4303.44,1710071999999,301990872.69510,4435,2171.964,152823212.53470,0,1
2024-03-10 12:00:00,70284.00,70777.00,70000.40,70512.9,3467.612,1710075599999,244032193.52110,5028,1710.136,120692709.45170,0,2
2024-03-10 13:00:00,70512.90,70794.30,70135.30,70557.9,4016.947,1710079199999,282852545.23970,5290,1899.434,134156856.34540,0,2
2024-03-10 14:00:00,70557.90,70719.40,69900.00,70356.0,4457.381,1710082799999,312995854.26520,4715,2132.345,150040762.11440,0,1
2024-03-10 15:00:00,70100.00,70400.00,69300.00,69438.5,5471.956,1710086399999,381587666.05770,6111,1908.924,133495860.20390,0,1
2024-03-10 16:00:00,69351.00,69998.00,69300.00,69338.0,4859.707,1710089999999,338348878.11400,10714,2367.557,165366801.15040,0,1
2024-03-10 17:00:00,69351.00,70190.00,69116.10,69300.0,4466.28,1710093599999,310846167.20730,6490,2149.825,150180105.93770,0,1
2024-03-10 18:00:00,69484.00,70062.00,69116.10,69317.5,4725.628,1710097199999,328621099.41400,5036,2167.088,151151680.12720,0,1
2024-03-10 19:00:00,69488.00,69899.90,69317.30,69469.0,4187.769,1710100799999,291112636.25900,5020,2025.240,141146103.02340,0,1
2024-03-10 20:00:00,69469.00,69950.20,69338.20,69488.0,4271.329,1710104399999,297369551.41830,6402,2128.124,148672798.87140,0,1
