Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore,SMA,RSI,Signal,TP/SP_values,Profit_per_Coin
2024-03-15 12:15:00,70038.90,70500.00,69950.20,70000.1,1075.145,2024-03-15 12:29:59.999,75532273.05890,402,546.969,38560224.35020,0,72737.251,38.601130767827826,Hold,0.0,0.0
2024-03-15 12:30:00,70499.90,70500.00,70000.00,70000.0,814.334,2024-03-15 12:44:59.999,57195370.85850,355,397.627,28023684.43090,0,72716.751,42.9539054770542,Hold,0.0,0.0
2024-03-15 12:45:00,70050.00,70500.00,70000.00,70000.0,826.572,2024-03-15 12:59:59.999,58015546.52390,424,389.044,27382758.22470,0,72700.0925,41.54665973485841,Hold,0.0,0.0
2024-03-15 13:00:00,70007.00,70599.80,69660.00,70507.7,1651.851,2024-03-15 13:14:59.999,116036162.54430,574,960.069,67614435.36010,0,72683.879,47.47991405082208,Hold,0.0,0.0
2024-03-15 13:15:00,69800.10,70523.00,69800.00,70069.0,1065.595,2024-03-15 13:29:59.999,74751742.36820,399,527.684,37111482.32730,0,72662.32400000001,45.08938473140217,Hold,0.0,0.0
2024-03-15 13:30:00,70069.00,70500.00,69700.00,70500.0,1262.035,2024-03-15 13:44:59.999,88579092.83960,470,640.326,45022809.27290,0,72642.834,47.34121750967797,Hold,0.0,0.0
2024-03-15 13:45:00,70500.00,70500.00,70062.10,70358.9,761.494,2024-03-15 13:59:59.999,53580087.41050,463,365.943,25785821.54050,0,72624.84850000001,34.457107075767,Hold,0.0,0.0
2024-03-15 14:00:00,70358.90,70499.90,70071.00,70071.0,1380.788,2024-03-15 14:14:59.999,96979885.52300,420,682.410,47996953.53890,0,72603.4685,32.13951967105875,Hold,0.0,0.0
2024-03-15 14:15:00,70071.00,70500.00,70071.00,70071.1,837.958,2024-03-15 14:29:59.999,58903551.11810,433,401.870,28293352.41180,0,72581.82650000001,37.457119520827746,Hold,0.0,0.0
2024-03-15 14:30:00,70071.10,70998.00,70070.50,70393.2,1230.530,2024-03-15 14:44:59.999,86646522.84800,508,628.779,44372960.63060,0,72562.2925,46.623829530164365,Hold,0.0,0.0
2024-03-15 14:45:00,70554.30,70998.00,70070.50,70465.2,902.616,2024-03-15 14:59:59.999,63603589.30410,533,462.756,32654429.23760,0,72548.2785,54.90104845213725,Hold,0.0,0.0
2024-03-15 15:00:00,70416.00,70998.00,70174.30,70721.8,1407.850,2024-03-15 15:14:59.999,99533695.02230,500,747.303,52919591.70840,0,72534.9335,58.747644586171916,Hold,0.0,0.0
2024-03-15 15:15:00,70838.70,70998.00,70600.00,70726.8,1093.546,2024-03-15 15:29:59.999,77368365.04760,412,555.313,39339397.58720,0,72523.0815,59.76406213226647,Hold,0.0,0.0
2024-03-15 15:30:00,70831.30,70900.00,70600.00,70881.9,1136.256,2024-03-15 15:44:59.999,80353914.25390,441,475.394,33677062.78870,0,72506.4915,56.12549321528238,Hold,0.0,0.0
2024-03-15 15:45:00,70832.30,70882.00,70511.90,70687.3,875.723,2024-03-15 15:59:59.999,61925723.30180,450,428.931,30373828.44370,0,72491.811,62.219061166429604,Hold,0.0,0.0
2024-03-15 16:00:00,70687.30,70882.00,70100.00,70503.6,1043.593,2024-03-15 16:14:59.999,73597482.92290,436,516.769,36511232.06250,0,72479.066,58.40566163706786,Hold,0.0,0.0
2024-03-15 16:15:00,70200.00,70879.70,70100.00,70101.0,1758.283,2024-03-15 16:29:59.999,124042773.24270,437,1137.592,80430869.79370,0,72459.83,51.48608086634102,Hold,0.0,0.0
2024-03-15 16:30:00,70872.30,70879.70,70062.20,70633.7,1072.515,2024-03-15 16:44:59.999,75560159.23150,404,539.329,38063267.45600,0,72447.229,51.8403832671185,Hold,0.0,0.0
2024-03-15 16:45:00,70879.00,70879.70,70063.10,70329.3,1543.385,2024-03-15 16:59:59.999,108765023.83380,548,744.508,52575583.92130,0,72428.99050000001,53.95725014442526,Hold,0.0,0.0
2024-03-15 17:00:00,70378.50,70820.00,70062.30,70363.4,1122.938,2024-03-15 17:14:59.999,79090233.01940,494,566.972,40019806.34630,0,72415.2825,47.638312586445245,Hold,0.0,0.0
2024-03-15 17:15:00,70363.40,70798.90,70062.50,70441.2,1559.955,2024-03-15 17:29:59.999,109886182.91940,402,1038.094,73215857.38720,0,72401.71350000001,51.45473185562279,Hold,0.0,0.0
2024-03-15 17:30:00,70607.10,70798.80,70342.80,70768.4,760.650,2024-03-15 17:44:59.999,53723033.34660,398,392.936,27784154.71690,0,72387.73550000001,62.15829846582987,Hold,0.0,0.0
2024-03-15 17:45:00,70743.50,70800.00,70378.20,70800.0,979.543,2024-03-15 17:59:59.999,69177879.84980,593,491.965,34795334.19000,0,72375.23550000001,62.569408518710155,Hold,0.0,0.0
2024-03-15 18:00:00,70378.20,70878.00,70343.00,70817.7,2243.464,2024-03-15 18:14:59.999,158522517.88900,723,1190.069,84264480.06070,0,72363.82400000001,58.17887557319572,Hold,0.0,0.0
2024-03-15 18:15:00,70817.70,70819.60,70500.00,70792.1,1105.367,2024-03-15 18:29:59.999,78073672.75200,368,562.133,39761731.10140,0,72352.2795,56.41307333150259,Hold,0.0,0.0
2024-03-15 18:30:00,70791.90,70819.40,70500.00,70795.2,965.214,2024-03-15 18:44:59.999,68226201.69690,430,516.743,36587042.98670,0,72340.75050000001,51.598989194841316,Hold,0.0,0.0
2024-03-15 18:45:00,70795.20,70802.70,70500.00,70798.6,1024.655,2024-03-15 18:59:59.999,72430886.40190,647,585.959,41477659.80580,0,72329.2375,51.56522497384034,Hold,0.0,0.0
2024-03-15 19:00:00,70802.70,70819.40,70500.00,70768.4,1380.000,2024-03-15 19:14:59.999,97525100.08580,584,687.880,48691719.92260,0,72315.2295,47.3832249734864,Hold,0.0,0.0
